# health care expenditures as percent of GDP
# source: http://data.worldbank.org/indicator/SH.XPD.TOTL.ZS
# downloaded 2013-10-02
Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
South Asia,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.878973776,3.797778636,4.015870097,4.098057219,3.918735696,4.014693173,4.195331965,4.168085093,4.076678527,4.258122813,4.062477513,3.890350581,3.81335436,3.879419566,3.866668336,3.721090478,3.786245195,
South Asia (IFC classification),CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (all income levels),SSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.70892435,5.862263219,6.021201987,6.2859274,6.349704925,5.905440224,6.071821989,5.790727598,6.503918299,6.864993072,6.737760994,6.503553381,6.448637024,6.190175281,6.878189622,6.497839164,6.443518151,
Sub-Saharan Africa (developing only),SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.708832443,5.863168807,6.02383254,6.287362219,6.360371457,5.919998755,6.093227708,5.803544689,6.531440237,6.91049439,6.80299788,6.552744743,6.503181272,6.244887043,6.896907754,6.52223871,6.476579527,
Sub-Saharan Africa (IFC classification),CAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.259042136,5.320357304,5.487498087,5.537969964,5.699857339,5.604268914,5.668606355,5.553300942,5.677423182,5.66659918,5.784923872,5.744104236,5.688305793,5.748199245,6.222839193,6.122490753,6.118603885,
World,WLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77247234,8.854184514,8.856686604,9.0788576,9.184916819,9.193266873,9.603972737,9.927173358,10.19343294,10.08037227,10.05508315,9.949161361,9.796180911,9.803381083,10.61342039,10.26072242,10.06025121,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.496318931,6.658596731,5.956241644,6.367674687,6.450537081,7.599399126,7.675153015,7.981359107,10.43615192,9.576475375,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.588333595,4.04188609,4.806430383,5.338640181,5.833765795,6.35004376,6.044853914,6.277196475,6.163814692,6.513871677,6.248569696,5.988507811,6.105260759,5.979171387,6.293084919,5.999804886,6.319041062,
Algeria,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.173543181,3.788035203,4.060304704,4.063201467,3.433915111,3.489032788,3.837876961,3.873390085,3.744365185,3.378307353,3.064177058,3.129453732,3.533042655,3.723282542,4.567365818,4.338783842,3.926187136,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.644394111,6.562675932,6.560599833,8.048700928,6.009304639,6.199820205,5.604530329,5.819230153,5.810631054,5.71477678,5.770734465,6.043451044,6.218641832,6.21165477,6.193100914,7.20083028,7.20083028,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.056805783,3.536302008,4.750836884,4.973936664,5.676836885,2.881246869,4.877852816,3.736061655,4.101075277,4.324659339,3.545718658,4.203113755,3.45079083,3.844909598,5.814111222,3.380674598,3.494169454,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87673124,4.607474652,4.643587123,4.641188909,4.676056658,4.767773199,4.888303588,4.943746756,5.01337348,4.660310597,5.131888643,4.869739281,4.270769888,4.807693715,4.899271204,5.930837047,5.938516848,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.310988609,8.024993358,8.361364803,8.535922328,9.355148564,9.212756846,9.375891335,8.313925817,8.216065992,8.188138684,8.329668426,8.255790438,8.21230976,8.284209144,9.408163815,8.287369629,8.111742855,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.447696756,5.812331952,5.793502854,5.777785433,5.699069665,6.271949207,5.953860907,5.409249545,5.564570224,5.49102964,4.860397621,4.176834653,3.882306481,3.768131933,4.593761878,4.467191585,4.327381323,
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.250867936,7.438691017,7.49133869,7.647304046,7.776403736,8.055015243,8.16290526,8.390291805,8.338659573,8.587169386,8.48078896,8.522299042,8.548570219,8.765495729,9.034838208,9.034838208,9.034838208,
Austria,AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.581762832,9.533202213,9.812477755,9.971602025,10.15828766,10.02436054,10.09367046,10.12228706,10.30353343,10.42830274,10.41869932,10.21766098,10.26168293,10.48960875,11.14090123,10.97722739,10.63696232,
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.791876008,6.123913906,5.45197597,5.434660042,5.35714447,4.67081301,4.482440965,4.467105576,6.563288039,7.924543949,7.863295944,6.168067587,5.095252927,4.37406647,5.850240482,5.333600097,5.238803114,
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.850393701,6.916043225,5.550118834,5.586096186,5.230290108,5.208175294,5.146186285,5.255708684,5.618048508,6.024487156,5.954182218,6.932389674,7.075593733,7.303474193,7.458985149,7.519019695,7.68131003,
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.574922659,4.549842101,4.654086302,4.705456485,4.665850351,3.948952236,4.258150892,4.387013262,4.245604745,3.949130075,3.755152455,3.604837579,3.634073001,4.114382183,4.528765522,4.30148709,3.790976802,
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.529650179,3.464768973,2.754500529,2.733932969,2.759279826,2.815132484,2.981881,3.093478794,3.035681017,3.123610623,3.208380203,3.398350219,3.457817726,3.538238337,3.705067619,3.694569923,3.718015481,
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.341561092,6.161401232,5.938088003,5.929454481,6.11466937,6.284659006,6.667581156,7.284099018,6.955078506,6.992262748,6.962645591,7.115171268,6.967205664,7.105768945,6.393443407,6.674028806,7.661872037,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.740253536,6.235624664,6.592525148,5.956657742,6.163383256,6.128848453,6.624745927,6.470124212,6.589280328,6.586789343,6.886352611,6.336804862,6.437732617,5.949189947,6.085041135,5.554204093,5.323667185,
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.61133611,7.910280861,7.765492949,7.886498426,8.07696349,8.120613362,8.292048863,8.461780153,9.995182191,10.12096627,10.08662408,9.57297268,9.60134369,9.988963042,10.65300951,10.49455711,10.59632662,
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.281460354,3.668089433,3.957481109,3.834308084,3.704969578,4.01113646,4.540969443,4.417886375,4.58652495,4.441506525,4.490384178,4.45997973,4.858257485,5.157656004,5.749988936,5.829630942,5.654677375,
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.692535361,4.586628818,4.311922112,4.385668241,4.586871881,4.338831447,4.686627121,4.274222582,4.630578583,4.561810206,4.733672634,4.750357369,4.545945197,4.188308214,4.372135687,4.345815198,4.56623398,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.059295388,6.480898092,7.646862959,7.464636706,6.949087458,6.896415473,6.466190801,8.346546098,5.149820578,4.486471472,4.345566269,4.404435362,5.00942534,5.243433703,4.588314522,4.26619804,4.06583577,
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.469978032,4.628209879,4.421713168,5.100013541,6.196505453,6.075662648,6.31154376,6.529371845,5.570035882,5.336216304,5.579832507,4.797717466,4.695600805,4.930743557,5.764797202,5.469859606,4.878461475,
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62779598,11.33200709,7.903326544,7.792612426,8.730048244,7.026405558,7.164066334,7.005456618,7.93953673,9.071593215,8.742266373,8.622067711,8.664862023,8.855154814,10.16805954,10.22827856,10.20852634,
Botswana,BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.173741931,4.155949878,4.419095551,3.967115754,3.849292963,4.737672847,5.174039463,5.721022203,5.662400673,7.879139627,7.187412434,6.222671144,7.248934547,4.42926751,4.873790033,5.143930459,5.061881407,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.652336412,6.848857093,6.808734531,6.73858722,7.086882441,7.164161047,7.268958081,7.19452275,7.025142534,7.130576493,8.169700718,8.48247973,8.470194007,8.28338067,8.753647276,9.008203065,8.897610808,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.946700731,3.705126326,3.716579969,4.433923304,4.094138771,3.00454621,3.178723795,3.117399469,3.10014097,3.014914265,2.632452318,2.296467323,2.412716997,2.343851014,3.043724772,2.949807805,2.464987223,
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.234919914,4.669429934,5.121668598,5.363296181,5.973820827,6.184461307,7.373597721,7.582738755,7.581012986,7.313354393,7.306803741,6.893565661,6.813553633,6.9741078,7.226841877,7.58041843,7.269171631,
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.302064501,4.518530696,4.533552739,4.682797384,5.26499091,5.131424991,4.939743642,5.010664473,5.523420113,6.111493188,6.874289147,7.36714503,7.651761961,8.577286102,7.277461555,7.359635357,6.510448701,
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.530080655,5.692375064,5.174348353,5.599775395,5.467337776,6.179376947,6.635477014,6.837405907,7.097191193,9.783590669,10.04727438,11.8002668,10.02676743,9.40340418,9.093789944,9.079619669,8.727785075,
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.160044512,9.496085698,7.987960171,6.956104164,6.182912492,6.327456212,6.249718961,6.41016352,7.340583674,7.101353432,6.969166563,5.636267428,4.388110246,5.407900804,6.343217057,6.033408316,5.69008557,
Cameroon,CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.861243347,5.159011962,4.640355323,4.418895754,4.429762808,4.475040363,4.696456854,4.858870729,4.96906438,4.726259928,4.746754736,4.681241281,4.691815528,5.118135489,4.915156173,5.134951524,5.230230301,
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.034384386,8.822819478,8.786122191,9.037862319,8.90353721,8.843677693,9.317195645,9.59862261,9.78057982,9.773769697,9.82190902,9.966564353,10.03861914,10.26544684,11.40434566,11.37668217,11.17690162,
Cape Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.287284425,4.823739763,4.73245519,5.238178473,4.648549127,4.811971365,5.188425606,5.172927776,4.99736722,5.061276521,4.858371674,5.114880342,4.986056615,4.633653674,4.98615393,4.823557083,4.760350055,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.866633615,3.768634177,3.673105922,3.489367911,3.929704148,4.093380546,3.847438824,4.010657505,4.368821999,4.139426368,4.352119287,4.026372804,4.323869945,4.310048175,3.579688061,3.804626776,3.787232787,
Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.778603301,5.491204592,5.54344972,5.411500513,5.866464983,6.276651882,6.024376337,8.00875558,5.779839757,5.1003527,4.730248873,4.028187278,4.196294058,3.571746969,4.39260196,4.028402459,4.277240986,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.480040031,6.981411008,6.969830341,7.428436673,7.607859486,7.673720588,7.57721032,7.408726522,7.006391748,6.647544231,6.520221466,6.210932237,6.506253411,7.097821824,7.673377446,7.369848779,7.464244927,
China,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.544977225,3.806618198,4.047861711,4.358585835,4.513428429,4.622937263,4.583395311,4.811688361,4.847565788,4.747541221,4.682612306,4.550477831,4.354221691,4.628597888,5.145721699,4.97627722,5.162804791,
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.756850075,8.160657977,8.955540875,8.726445834,8.671890322,5.879214151,5.927438827,5.645249437,5.905833031,5.52300697,6.017669472,6.464720363,6.848209039,6.785582186,6.994227547,6.527915726,6.115770812,
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66499232,4.532868337,4.54941129,4.099597175,3.924819249,3.6161593,2.950867879,3.518150947,3.738231631,4.093726244,4.426487954,4.73167844,5.064395987,5.320606127,3.959987074,5.30445493,5.258002769,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.593267405,3.334900156,3.975368059,4.640166338,4.204757763,4.741561994,4.281051122,4.171857121,5.086613587,5.37172759,5.265587324,5.616975554,5.933944012,7.333107092,9.149633536,7.475126038,8.547191396,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.163060688,2.862914914,3.098681074,3.73837716,3.065002027,2.125049597,2.436336736,2.4527646,2.610507458,2.555295885,2.421718316,2.3727083,2.537703637,2.08514176,2.265585759,2.292848449,2.452737942,
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.512315364,6.650787091,6.350547659,7.10413121,6.830887851,7.077746849,7.114748726,8.030357513,8.092324308,7.798390038,7.739737959,7.823185825,8.366457727,9.317547482,10.31856973,10.31837711,10.86777555,
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.060377139,5.557020565,6.160533852,6.578345485,5.55355508,5.057640022,3.95622024,3.459153908,3.777347234,4.222547385,4.298024571,4.670782932,5.769619583,5.91001253,6.061278931,6.187681867,6.784073142,
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.848576436,7.106222944,5.871961413,6.672373992,7.340327831,7.756058462,7.235894432,6.272707954,6.442332295,6.647126556,6.985613807,7.034180742,7.536926455,7.80038398,7.798396254,7.806793892,7.812732603,
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.151943474,5.256362597,5.499444142,5.769992928,6.00381452,6.065721801,6.270176087,6.495308183,6.314777934,6.137639126,8.080583057,7.671196255,10.41968483,10.79334276,11.74384138,10.19428493,9.995947762,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.735550508,5.205468148,5.53045023,5.583429222,5.597470509,5.768786213,5.782635284,6.123613103,6.830468693,6.418003836,6.369085336,6.278099579,6.052534161,6.89217292,7.232651971,7.359406009,7.412444843,
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.693982301,6.411251295,6.401053836,6.418029252,6.348931584,6.313762422,6.422187844,6.797383088,7.131816888,6.903468591,6.93394326,6.693703035,6.522338995,6.818895771,7.993378735,7.462693576,7.380345533,
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.125291184,8.211499334,8.150911347,8.156134117,8.953639677,8.699089541,9.100179618,9.332887509,9.50939145,9.674869389,9.769960596,9.924316294,9.987294014,10.18303034,11.45122521,11.11596172,11.15031076,
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.027233266,4.001177855,4.50390586,5.28287935,6.224386879,5.807615898,5.42454036,5.495117844,6.277429076,5.651586895,7.203820466,7.048311188,7.718289135,7.182142042,7.705102748,7.874424031,7.87121835,
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.912217208,5.98731203,6.133120357,5.890024354,5.934430765,4.900928475,4.874040807,4.963654469,4.852112257,4.588559726,4.888151155,4.859500623,4.980262804,4.838842192,4.901226587,5.882090436,5.865288129,
Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.525245398,5.337948017,5.652700439,5.835094968,5.928083089,6.348155134,6.196243558,6.303293421,6.484695502,5.108928483,5.267878887,5.214225999,4.972702523,5.27209372,5.44363807,5.463035926,5.364090192,
Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.109574728,4.403273092,4.406295972,4.290167987,4.728947995,4.151242807,4.62169478,5.552508889,7.67244459,7.367480658,7.093183573,7.272507722,7.565990382,7.185466146,8.181835441,7.944520922,7.256430236,
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.864182408,4.25715076,4.969916012,5.065097799,5.337579454,5.429149292,5.781760257,6.134343155,5.629246236,5.283498336,5.148029803,5.252298482,4.94114341,4.81047285,5.004120813,4.735374794,4.875219574,
